Question,Answer
What is the preparatory course?,"The preparatory course is a special educational program lasting one academic year — that is, between seven and 10 months. Students taking this course study Russian, mathematics, and physics. The course ends with an exam, and the passing students receive a certificate of completion."
I am interested in the preparatory course.,"The preparatory course is a special educational program lasting one academic year — that is, between seven and 10 months. Students taking this course study Russian, mathematics, and physics. The course ends with an exam, and the passing students receive a certificate of completion."
Do you have a preparatory course?,"The preparatory course is a special educational program lasting one academic year — that is, between seven and 10 months. Students taking this course study Russian, mathematics, and physics. The course ends with an exam, and the passing students receive a certificate of completion."
What is an invitation letter?,An invitation is an official document prepared by the Ministry of Internal Affairs of the Russian Federation. It confirms that the student to whom the invitation is addressed has been admitted to the university. The invitation contains the student’s passport data and specifies the full designation of the university. This document needs to be submitted to the Russian Embassy in order to receive a visa. The internal affairs ministry usually issues the invitation letter within 45 days.
How can I get a visa from the Russian Embassy?,An invitation is an official document prepared by the Ministry of Internal Affairs of the Russian Federation. It confirms that the student to whom the invitation is addressed has been admitted to the university. The invitation contains the student’s passport data and specifies the full designation of the university. This document needs to be submitted to the Russian Embassy in order to receive a visa. The internal affairs ministry usually issues the invitation letter within 45 days.
How long does it take to issue an invitation letter?,An invitation is an official document prepared by the Ministry of Internal Affairs of the Russian Federation. It confirms that the student to whom the invitation is addressed has been admitted to the university. The invitation contains the student’s passport data and specifies the full designation of the university. This document needs to be submitted to the Russian Embassy in order to receive a visa. The internal affairs ministry usually issues the invitation letter within 45 days.
Where should I submit the invitation letter?,An invitation is an official document prepared by the Ministry of Internal Affairs of the Russian Federation. It confirms that the student to whom the invitation is addressed has been admitted to the university. The invitation contains the student’s passport data and specifies the full designation of the university. This document needs to be submitted to the Russian Embassy in order to receive a visa. The internal affairs ministry usually issues the invitation letter within 45 days.
What does registration mean?,"Registration grants a foreign citizen the legal right to stay on the territory of Russia. It is usually provided for a period of one year and needs to be renewed annually. To prolong your registration, submit an application about three weeks before it expires. Upon arrival at the university, a student needs to register at the International Department of MIPT within three days, including the day of arrival. The registration stamp is put on the migration card. It is recommended that the passport be renewed before a trip to Russia for the full period of study."
Where can I get registration?,"Registration grants a foreign citizen the legal right to stay on the territory of Russia. It is usually provided for a period of one year and needs to be renewed annually. To prolong your registration, submit an application about three weeks before it expires. Upon arrival at the university, a student needs to register at the International Department of MIPT within three days, including the day of arrival. The registration stamp is put on the migration card. It is recommended that the passport be renewed before a trip to Russia for the full period of study."
For how long can I get registration?,"Registration grants a foreign citizen the legal right to stay on the territory of Russia. It is usually provided for a period of one year and needs to be renewed annually. To prolong your registration, submit an application about three weeks before it expires. Upon arrival at the university, a student needs to register at the International Department of MIPT within three days, including the day of arrival. The registration stamp is put on the migration card. It is recommended that the passport be renewed before a trip to Russia for the full period of study."
How to prolong registration?,"Registration grants a foreign citizen the legal right to stay on the territory of Russia. It is usually provided for a period of one year and needs to be renewed annually. To prolong your registration, submit an application about three weeks before it expires. Upon arrival at the university, a student needs to register at the International Department of MIPT within three days, including the day of arrival. The registration stamp is put on the migration card. It is recommended that the passport be renewed before a trip to Russia for the full period of study."
Is it possible to study and work at the same time?,"Students at Russian universities are required to attend all lectures as only the knowledge gained during classroom instruction enables one to become a skilled and knowledgeable professional. This means that side job opportunities are limited to working after classes, on weekends, or during vacations. However, even that should probably be reserved for when you have gotten to know the country and the language better. Usually, it is during the junior year that getting a job really becomes an option, but only if you study well and attend all mandatory classes."
Do you permit work during studies?,"Students at Russian universities are required to attend all lectures as only the knowledge gained during classroom instruction enables one to become a skilled and knowledgeable professional. This means that side job opportunities are limited to working after classes, on weekends, or during vacations. However, even that should probably be reserved for when you have gotten to know the country and the language better. Usually, it is during the junior year that getting a job really becomes an option, but only if you study well and attend all mandatory classes."
Can I combine study and work?,"Students at Russian universities are required to attend all lectures as only the knowledge gained during classroom instruction enables one to become a skilled and knowledgeable professional. This means that side job opportunities are limited to working after classes, on weekends, or during vacations. However, even that should probably be reserved for when you have gotten to know the country and the language better. Usually, it is during the junior year that getting a job really becomes an option, but only if you study well and attend all mandatory classes."
Do I have to attend all lectures?,"Students at Russian universities are required to attend all lectures as only the knowledge gained during classroom instruction enables one to become a skilled and knowledgeable professional. This means that side job opportunities are limited to working after classes, on weekends, or during vacations. However, even that should probably be reserved for when you have gotten to know the country and the language better. Usually, it is during the junior year that getting a job really becomes an option, but only if you study well and attend all mandatory classes."
