Question,Answer
Does the productA provide 24/7 customer support?,Yes
Is it a free service?,yes
Why is productA providing a free service?, productA is absolutely free for consumers.Our aim is to bring transparency in healthcare prices and help everyone to get the best price.
Where do I find productA doctor Profile on this app?,Select the test name and location and click on search. Once the list of providers appear and click on any provider(doctor) to view their profile
Will the patient info be secured? ,Yes patient information/data is secured as per productA terms and conditions.
Who are productA’s users?,productA’s users are anyone who is willing to save money on healthcare services. Our most frequent users are uninsured
What is productA,productA is a popular online price and quality transparency platform that helps consumers to shop for healthcare services like MRI
If we book an appointment through you (productA.com) do I stand a better chance of getting an appointment?,Definitely. productA provides innumerable doctors for its patients. So patients can book an appointment as per their convenience.
Are there any additional features I have access to with this app?,No
How do I install the productA app for doctors?,Visit playstore and  Type: productA Pro
Is it free to use?,Yes
I booked an appointment through you with a doctor. Will I have to be there on time ? What if I arrive late?,productA encourages all its customers to honor the appointment timings
Is it a free service? Why is productA providing a free service?,Yes
Do I have to show the productA Appointment ID when visiting a clinic/hospital for my appointment?,Not required. You’ll show the voucher or electronic communication.
Some doctors/clinics/hospitals in my area are not listed on productA.com? What do I do about it?,It may be possible that all doctors/clinics/hospitals may not be listed in productA. Hence we kindly request you to choose among the available doctors/clinics/hospitals. We are adding providers who are willing to share their cash prices
Is productA safe to approach?,Yes productA healthcare is a trademark for safety
What if a patient has any issues scheduling an appointment online?,if a patient has any issues scheduling an appointment online then our customer service agent will assist you when you have issues with scheduling. Patient has an option to reschedule/cancel the appointment as per his/her convenience.
How can patients search for appointments?,They can visit productA website and search test or test location and then you can book as per the search entity.
"If a patient has an appointment booked at a particular time, can the patient book another appointment at the same time via productA?",No a person cannot book 2 appointments at the same time on the same day
Is online scheduling available in multiple languages?,For now ZeaMed is only available in English.
What should patients do if a specific reason for visit isn’t listed?,Patient can contact ZeaMed healthcare customer care.
What internet browser provides patients with the best online scheduling experience?,It is recommended you use the latest versions of Google Chrome or Mozilla Firefox or Safari. The scheduling feature is compatible with Internet Explorer 11.
